City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Port-Gentil,40,GA,2022-02-12 05:31:07,94,-0.7193,8.7815,78.76,3.44
Codrington,3,AU,2022-02-12 05:31:07,58,-38.2667,141.9667,72.18,19.08
Sebrovo,98,RU,2022-02-12 05:31:08,90,50.0981,43.2976,33.82,3.53
Leningradskiy,95,RU,2022-02-12 05:31:08,98,69.3833,178.4167,-20.72,5.06
Krasnovishersk,100,RU,2022-02-12 05:31:09,94,60.4078,57.082,10.49,5.17
Hobbs,0,US,2022-02-12 05:31:09,56,32.7026,-103.136,48.02,14.97
Vila,29,PT,2022-02-12 05:31:10,92,42.0304,-8.1588,40.33,1.86
Pitimbu,33,BR,2022-02-12 05:31:10,82,-7.4706,-34.8086,79.39,6.96
Ozernovskiy,90,RU,2022-02-12 05:31:11,80,51.5,156.5167,24.94,6.06
Dunedin,100,NZ,2022-02-12 05:31:11,73,-45.8742,170.5036,55.8,4.0
Ust-Nera,57,RU,2022-02-12 05:31:12,99,64.5667,143.2,-26.18,3.0
Clyde River,40,CA,2022-02-12 05:31:12,76,70.4692,-68.5914,-18.17,28.77
Tocopilla,1,CL,2022-02-12 05:31:13,71,-22.092,-70.1979,68.5,3.62
Luga,99,RU,2022-02-12 05:31:13,95,58.7372,29.8453,19.24,7.34
Pincher Creek,0,CA,2022-02-12 05:31:14,49,49.4833,-113.952,37.56,9.22
Kombissiri,8,BF,2022-02-12 05:31:14,13,12.0656,-1.3375,71.58,8.16
Nadvoitsy,57,RU,2022-02-12 05:31:15,95,63.8667,34.3167,11.16,6.67
São João del Rei,93,BR,2022-02-12 05:31:15,98,-21.1356,-44.2617,61.56,3.15
Kaeo,95,NZ,2022-02-12 05:31:16,95,-35.1,173.7833,77.32,19.62
Asău,100,RO,2022-02-12 05:31:16,90,46.4333,26.4,36.75,2.8
Cockburn Town,2,TC,2022-02-12 05:31:16,84,21.4612,-71.1419,77.49,23.71
Asheville,0,US,2022-02-12 05:31:17,63,35.6009,-82.554,47.62,0.0
Purpe,2,RU,2022-02-12 05:31:17,86,64.4803,76.6897,-6.43,12.21
Owasso,20,US,2022-02-12 05:31:18,56,36.2695,-95.8547,48.24,17.27
Ahipara,89,NZ,2022-02-12 05:31:18,90,-35.1667,173.1667,76.39,23.31
Sinnamary,79,GF,2022-02-12 05:27:01,89,5.3833,-52.95,75.79,9.13
Skogn,100,NO,2022-02-12 05:31:19,88,63.7,11.2,34.99,8.77
Tres Picos,23,MX,2022-02-12 05:31:20,67,15.8667,-93.5333,73.98,3.15
Molina,0,CL,2022-02-12 05:31:03,48,-35.1167,-71.2833,62.33,3.44
Tautira,81,PF,2022-02-12 05:31:21,73,-17.7333,-149.15,78.82,12.55
Daru,100,PG,2022-02-12 05:31:21,68,-9.0763,143.2092,82.76,5.79
San Quintín,0,MX,2022-02-12 05:31:22,51,30.4833,-115.95,62.19,1.32
Tommot,100,RU,2022-02-12 05:31:22,87,58.9564,126.2925,-4.83,2.28
Srednekolymsk,18,RU,2022-02-12 05:31:23,96,67.45,153.6833,-29.85,6.53
Amet,4,IN,2022-02-12 05:31:23,22,25.3,73.9333,69.67,5.46
Ialibu,94,PG,2022-02-12 05:31:23,62,-6.2821,143.9935,66.83,5.06
Manta,75,EC,2022-02-12 05:31:24,83,-0.95,-80.7333,76.78,5.75
Marang,100,MY,2022-02-12 05:31:24,69,5.2056,103.2059,82.31,7.4
Matara,100,LK,2022-02-12 05:31:25,59,5.9485,80.5353,87.55,7.05
San Rafael,100,AR,2022-02-12 05:31:13,68,-34.6177,-68.3301,61.23,10.56
Erzin,0,TR,2022-02-12 05:31:26,64,36.9559,36.2,34.52,1.23
Cabo San Lucas,0,MX,2022-02-12 05:26:29,72,22.8909,-109.9124,67.51,4.63
Colares,71,PT,2022-02-12 05:31:26,77,38.7992,-9.4469,57.33,15.01
Liverpool,75,GB,2022-02-12 05:31:27,77,53.4106,-2.9779,45.82,16.11
Tura,0,IN,2022-02-12 05:31:27,33,25.5198,90.2201,71.44,4.43
Touros,92,BR,2022-02-12 05:31:28,83,-5.1989,-35.4608,79.7,7.34
Manadhoo,100,MV,2022-02-12 05:31:28,77,5.7667,73.3833,81.82,17.02
Alamogordo,0,US,2022-02-12 05:29:19,47,32.8995,-105.9603,50.05,11.5
Isangel,40,VU,2022-02-12 05:31:29,74,-19.55,169.2667,87.91,6.91
Durban,39,ZA,2022-02-12 05:31:29,86,-29.8579,31.0292,80.02,1.99
Hanchuan,100,CN,2022-02-12 05:31:30,78,30.65,113.7667,44.71,5.84
Pevek,96,RU,2022-02-12 05:31:30,100,69.7008,170.3133,-30.77,6.42
Binzhou,99,CN,2022-02-12 05:31:31,37,37.3667,118.0167,50.85,4.0
Torbay,20,CA,2022-02-12 05:31:31,91,47.6666,-52.7314,33.58,14.97
Mari-Turek,88,RU,2022-02-12 05:31:32,97,56.7895,49.6235,18.73,6.64
Kununurra,7,AU,2022-02-12 05:31:32,52,-15.7667,128.7333,93.18,5.75
Hasaki,94,JP,2022-02-12 05:31:33,47,35.7333,140.8333,48.6,6.24
North Bend,0,US,2022-02-12 05:31:33,81,43.4065,-124.2243,54.91,3.44
Berlevåg,100,NO,2022-02-12 05:31:34,63,70.8578,29.0864,27.34,13.87
Madīnat Sittah Uktūbar,0,EG,2022-02-12 05:31:34,73,29.8167,31.05,50.09,13.13
Kokuy,96,RU,2022-02-12 05:31:34,87,52.2037,117.5529,-2.9,2.95
Pedernales,0,DO,2022-02-12 05:31:35,65,18.0384,-71.744,76.05,5.99
Port Augusta,0,AU,2022-02-12 05:31:35,16,-32.5,137.7667,95.7,9.46
Nizhniy Kuranakh,100,RU,2022-02-12 05:31:36,90,58.8353,125.4869,-6.95,5.08
Taoudenni,5,ML,2022-02-12 05:31:36,29,22.6783,-3.9836,56.84,10.38
Atambua,87,ID,2022-02-12 05:31:37,74,-9.1061,124.8925,81.99,1.9
Pokhara,0,NP,2022-02-12 05:31:37,42,28.2333,83.9833,63.19,6.44
Pangnirtung,100,CA,2022-02-12 05:31:38,94,66.1451,-65.7125,3.13,2.59
Manggar,81,ID,2022-02-12 05:31:38,65,-2.8833,108.2667,85.51,9.69
Boende,100,CD,2022-02-12 05:31:38,64,-0.2167,20.8667,79.16,1.57
Cidreira,1,BR,2022-02-12 05:31:39,84,-30.1811,-50.2056,73.62,17.9
Tuatapere,82,NZ,2022-02-12 05:31:39,58,-46.1333,167.6833,57.81,11.39
Lātehār,1,IN,2022-02-12 05:31:40,20,23.75,84.5,71.82,9.22
Buenos Aires,0,AR,2022-02-12 05:30:52,88,-34.6132,-58.3772,60.53,9.22
Fort Nelson,100,CA,2022-02-12 05:31:41,79,58.8053,-122.7002,9.99,2.3
Lar,0,IN,2022-02-12 05:31:41,47,26.2039,83.9717,67.55,6.6
Petrokamenskoye,100,RU,2022-02-12 05:31:41,92,57.716,60.6484,11.25,3.85
Cumpas,0,MX,2022-02-12 05:31:42,25,29.9833,-109.7833,57.0,1.57
Dickinson,0,US,2022-02-12 05:31:42,91,29.4608,-95.0513,59.95,4.61
Molodizhne,100,UA,2022-02-12 05:31:43,92,48.1773,32.6601,39.07,13.27
Mogadishu,0,SO,2022-02-12 05:30:37,73,2.0371,45.3438,78.67,16.11
Plácido de Castro,55,BR,2022-02-12 05:31:44,98,-10.3353,-67.1856,72.57,2.84
Yar-Sale,100,RU,2022-02-12 05:31:44,82,66.8333,70.8333,-2.58,15.82
Paka,40,MY,2022-02-12 05:31:45,89,4.6374,103.4368,78.73,4.61
Yeniseysk,8,RU,2022-02-12 05:31:45,80,58.4497,92.1703,4.32,7.05
Aykhal,60,RU,2022-02-12 05:31:45,93,66.0,111.5,-1.59,4.61
Sargatskoye,46,RU,2022-02-12 05:31:46,93,55.6101,73.4972,-2.49,13.49
Tacuarembó,90,UY,2022-02-12 05:31:46,87,-31.7333,-55.9833,69.75,10.22
Vanimo,100,PG,2022-02-12 05:31:47,86,-2.6741,141.3028,79.29,4.61
Petropavlovsk-Kamchatskiy,0,RU,2022-02-12 05:31:47,45,53.0452,158.6483,19.99,2.24
Palu,100,ID,2022-02-12 05:31:48,97,-0.8917,119.8707,76.41,2.06
Malinyi,100,TZ,2022-02-12 05:31:48,98,-8.9333,36.1333,71.71,1.54
Skibbereen,100,IE,2022-02-12 05:31:49,95,51.55,-9.2667,48.0,26.42
Labuhan,100,ID,2022-02-12 05:31:49,80,-6.8844,112.2051,80.89,10.09
Sungai Penuh,100,ID,2022-02-12 05:31:49,49,-2.0833,101.3833,81.97,4.83
Salé,75,MA,2022-02-12 05:31:50,100,34.0389,-6.8166,52.63,3.44
Esperance,100,AU,2022-02-12 05:31:50,81,-33.8667,121.9,71.44,13.18
Calbuco,47,CL,2022-02-12 05:31:51,81,-41.768,-73.1273,54.61,18.16
Along,97,IN,2022-02-12 05:31:51,47,28.1667,94.7667,68.61,2.68
Dakar,11,SN,2022-02-12 05:31:52,45,14.6937,-17.4441,76.08,19.44
Águilas,4,ES,2022-02-12 05:31:52,79,37.4063,-1.5829,49.44,5.35
Tuzha,95,RU,2022-02-12 05:31:53,96,57.6062,47.936,21.33,7.29
Banyo,46,CM,2022-02-12 05:31:53,20,6.75,11.8167,63.79,3.2
Puerto Nariño,85,CO,2022-02-12 05:31:53,95,-3.7703,-70.3831,72.75,1.92
Alghero,0,IT,2022-02-12 05:31:54,100,40.5589,8.3181,35.69,3.44
Leer,33,SS,2022-02-12 05:31:54,15,8.3018,30.1418,79.09,10.45
Ponta Delgada,75,PT,2022-02-12 05:31:55,72,37.7333,-25.6667,59.5,11.5
Dolinsk,100,RU,2022-02-12 05:31:55,90,47.35,142.8,26.46,4.21
Rocha,98,UY,2022-02-12 05:31:56,97,-34.4833,-54.3333,67.44,4.12
Hokitika,100,NZ,2022-02-12 05:31:56,84,-42.7167,170.9667,63.57,2.3
Karratha,6,AU,2022-02-12 05:31:57,45,-20.7377,116.8463,94.89,13.82
Te Anau,98,NZ,2022-02-12 05:31:57,58,-45.4167,167.7167,57.18,7.76
Vila Franca do Campo,95,PT,2022-02-12 05:31:58,82,37.7167,-25.4333,59.2,6.04
Bundaberg,75,AU,2022-02-12 05:31:59,56,-24.85,152.35,83.21,16.11
Weinan,97,CN,2022-02-12 05:31:59,50,34.5036,109.5089,46.09,4.63
George,100,ZA,2022-02-12 05:32:00,94,-33.963,22.4617,63.95,6.91
Henties Bay,23,NA,2022-02-12 05:32:00,90,-22.116,14.2845,70.86,4.83
Băile Tuşnad,99,RO,2022-02-12 05:32:01,98,46.15,25.85,34.88,5.84
Honiara,100,SB,2022-02-12 05:32:01,88,-9.4333,159.95,78.21,4.12
Kruisfontein,0,ZA,2022-02-12 05:32:02,49,-34.0033,24.7314,72.14,4.29
Kokorevka,100,RU,2022-02-12 05:32:02,97,52.5872,34.2778,26.37,4.52
Podyuga,100,RU,2022-02-12 05:32:03,94,61.095,40.8647,21.04,8.75
Waingapu,100,ID,2022-02-12 05:32:03,72,-9.6567,120.2641,84.02,2.75
Davidson,100,US,2022-02-12 05:32:03,60,36.1501,-86.7833,54.37,9.22
Cayenne,100,GF,2022-02-12 05:32:04,85,4.9333,-52.3333,79.09,7.0
Asekeyevo,100,RU,2022-02-12 05:32:04,96,53.5742,52.7972,26.62,1.7
Yulara,1,AU,2022-02-12 05:32:05,17,-25.2406,130.9889,93.04,6.91
Poum,89,NC,2022-02-12 05:32:05,76,-20.2333,164.0167,81.72,7.78
Mehamn,94,NO,2022-02-12 05:32:06,65,71.0357,27.8492,26.78,8.5
Yumen,100,CN,2022-02-12 05:32:06,30,40.2833,97.2,33.06,21.74
